id,text,pos,lemma,level,sense,type
364,ལྟོས,NULL,NULL,2,NULL,1
365,རེད་ཤག,NULL,NULL,2,NULL,1
366,དེ་ལ,NULL,NULL,2,NULL,1
367,བྱ་བ,NULL,NULL,2,NULL,1
368,བློན་པོ,NULL,NULL,2,NULL,1
369,སོང་ན,NULL,NULL,2,NULL,1
370,ཁག,NULL,NULL,2,NULL,1
371,གཏང,NULL,NULL,2,NULL,1
372,གྲྭ་བ,NULL,NULL,2,NULL,1
373,ཡང་བསྐྱར,NULL,NULL,2,NULL,1
374,རང་གི,NULL,NULL,2,NULL,1
375,གཙང་མ,NULL,NULL,2,NULL,1
376,དེ་ག,NULL,NULL,2,NULL,1
377,ཁྱི,NULL,NULL,2,NULL,1
378,ཁྱེད་རང་ཚོ,NULL,NULL,2,NULL,1
379,བཏབ,NULL,NULL,2,NULL,1
380,ཚེ,NULL,NULL,2,NULL,1
381,སྡོམ་པ,NULL,NULL,2,NULL,1
382,སྤྱི་ཚོགས,NULL,NULL,2,NULL,1
383,མོད,NULL,NULL,2,NULL,1
384,འོན་ཀྱང,NULL,NULL,2,NULL,1
385,རྒྱལ་ཁབ,NULL,NULL,2,NULL,1
386,ཙམ་པ་ལ,NULL,NULL,2,NULL,1
387,རང་བཞིན,NULL,NULL,2,NULL,1
388,རིང,NULL,NULL,2,NULL,1
389,སླར་ཡང,NULL,NULL,2,NULL,1
390,ག་དུས,NULL,NULL,2,NULL,1
391,གལ་སྲིད,NULL,NULL,2,NULL,1
392,ཉན,NULL,NULL,2,NULL,1
393,དཀར་པོ,NULL,NULL,2,NULL,1
394,མ་རེད་ད,NULL,NULL,2,NULL,1
395,མྱོང,NULL,NULL,2,NULL,1
396,རིག་གནས,NULL,NULL,2,NULL,1
397,རེ་བ,NULL,NULL,2,NULL,1
398,ནང་ལ,NULL,NULL,2,NULL,1
399,འབྲེལ་བ,NULL,NULL,2,NULL,1
400,ཤ,NULL,NULL,2,NULL,1
401,གཉིས་པ,NULL,NULL,2,NULL,1
402,ཉལ,NULL,NULL,2,NULL,1
403,དགའ,NULL,NULL,2,NULL,1
404,པ,NULL,NULL,2,NULL,1
405,རྒྱ་གར,NULL,NULL,2,NULL,1
406,གོ,NULL,NULL,2,NULL,1
407,ཁྲིད,NULL,NULL,2,NULL,1
408,ཐབས,NULL,NULL,2,NULL,1
409,དེ་དུས,NULL,NULL,2,NULL,1
410,ལྟ,NULL,NULL,2,NULL,1
411,ངེས,NULL,NULL,2,NULL,1
412,པར,NULL,NULL,2,NULL,1
413,བགྲོ་གླེང,NULL,NULL,2,NULL,1
414,བྱས་ཙང,NULL,NULL,2,NULL,1
415,རིགས,NULL,NULL,2,NULL,1
416,ལྷག,NULL,NULL,2,NULL,1
417,ས་ཆ,NULL,NULL,2,NULL,1
418,གནའ་སྔ་མོ,NULL,NULL,2,NULL,1
419,རྔོན་པ,NULL,NULL,2,NULL,1
420,སྡོད,NULL,NULL,2,NULL,1
421,ཨ་ཁུ,NULL,NULL,2,NULL,1
422,ཁ་པར,NULL,NULL,2,NULL,1
423,གཉིས་ཀ,NULL,NULL,2,NULL,1
424,དད་པ,NULL,NULL,2,NULL,1
425,ཕེབས,NULL,NULL,2,NULL,1
426,བཏང་བ,NULL,NULL,2,NULL,1
427,བོད་སྐད,NULL,NULL,2,NULL,1
428,སེམས་པ,NULL,NULL,2,NULL,1
429,ཁག་པོ,NULL,NULL,2,NULL,1
430,ཆུང་བ,NULL,NULL,2,NULL,1
431,འདྲ་མི་འདྲ,NULL,NULL,2,NULL,1
432,འཛུལ,NULL,NULL,2,NULL,1
433,རོགས་པ,NULL,NULL,2,NULL,1
434,ཨེ,NULL,NULL,2,NULL,1
435,ཁྲོད,NULL,NULL,2,NULL,1
436,གློག་བརྙན,NULL,NULL,2,NULL,1
437,སྒྲུང,NULL,NULL,2,NULL,1
438,ནང་དུ,NULL,NULL,2,NULL,1
439,ཀློག,NULL,NULL,2,NULL,1
440,ག་པ,NULL,NULL,2,NULL,1
441,ཆེ,NULL,NULL,2,NULL,1
442,བཤད་ཡ,NULL,NULL,2,NULL,1
443,མཚམས་མཚམས,NULL,NULL,2,NULL,1
444,ལྡན་པ,NULL,NULL,2,NULL,1
445,སླེབས་པ,NULL,NULL,2,NULL,1
446,ཁྱོན་ནས,NULL,NULL,2,NULL,1
447,དྲིས་པ,NULL,NULL,2,NULL,1
448,ཞེས་པ,NULL,NULL,2,NULL,1
449,འདུག་སེ,NULL,NULL,2,NULL,1
